"","year","track","artist","track_title","line","lyric","decade"
"1","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",1,"He came from somewhere back in her long ago","1980s"
"2","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",2,"The sentimental fool don't see","1980s"
"3","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",3,"Tryin' hard to recreate","1980s"
"4","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",4,"What had yet to be created once in her life","1980s"
"5","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",5,"She musters a smile for his nostalgic tale","1980s"
"6","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",6,"Never coming near what he wanted to say","1980s"
"7","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",7,"Only to realize it never really was","1980s"
"8","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",8,"She had a place in his life","1980s"
"9","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",9,"He never made her think twice","1980s"
"10","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",10,"As he rises to her apology","1980s"
"11","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",11,"Anybody else would surely know","1980s"
"12","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",12,"He's watching her go","1980s"
"13","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",13,"But what a fool believes, he sees","1980s"
"14","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",14,"No wise man has the power to reason away","1980s"
"15","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",15,"What seems to be","1980s"
"16","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",16,"Is always better than nothing","1980s"
"17","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",17,"Than nothing at all","1980s"
"18","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",18,"Keeps sending him somewhere back in her long ago","1980s"
"19","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",19,"Where he can still believe there's a place in her life","1980s"
"20","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",20,"Someday, somewhere","1980s"
"21","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",21,"She will return","1980s"
"22","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",22,"She had a place in his life","1980s"
"23","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",23,"He never made her think twice","1980s"
"24","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",24,"As he rises to her apology","1980s"
"25","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",25,"Anybody else would surely know","1980s"
"26","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",26,"He's watching her go","1980s"
"27","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",27,"But what a fool believes, he sees","1980s"
"28","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",28,"No wise man has the power to reason away","1980s"
"29","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",29,"What seems to be","1980s"
"30","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",30,"Is always better than nothing","1980s"
"31","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",31,"Than nothing at all","1980s"
"32","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",32,"But what a fool believes, he sees","1980s"
"33","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",33,"No wise man has the power to reason away","1980s"
"34","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",34,"What seems to be","1980s"
"35","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",35,"Is always better than nothing","1980s"
"36","1980","""What a Fool Believes""","The Doobie Brothers","What a Fool Believes",36,"Than nothing at all","1980s"
"37","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",1,"For awhile, to love was all we could do","1980s"
"38","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",2,"We were young and we knew","1980s"
"39","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",3,"In our eyes we're alive","1980s"
"40","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",4,"Deep inside we knew our love was true","1980s"
"41","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",5,"For awhile, we paid no mind to the past","1980s"
"42","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",6,"We knew love would last","1980s"
"43","1980","""After the Love Has Gone""","Earth, Wind & Fire","After the Love Has Gone",7,"Every night, something right","1980s"
